user_id,created_at,product_id,quantity,price
10,1/1/19,101,3,55
10,1/2/19,119,5,29
10,3/31/19,111,2,149
11,1/2/19,105,3,234
11,3/31/19,120,3,99
12,1/2/19,112,2,200
12,3/31/19,110,2,299
13,1/5/19,113,1,67
13,3/31/19,118,3,35
14,1/6/19,109,5,199
14,1/6/19,107,2,27
14,3/31/19,112,3,200
15,1/8/19,105,4,234
15,1/9/19,110,4,299
15,3/31/19,116,2,499
16,1/10/19,113,2,67
16,3/31/19,107,4,27
17,1/11/19,116,2,499
17,3/31/19,104,1,154
18,1/12/19,114,2,248
18,1/12/19,113,4,67
19,1/12/19,114,3,248
20,1/15/19,117,2,999
21,1/16/19,105,3,234
21,1/17/19,114,4,248
22,1/18/19,113,3,67
22,1/19/19,118,4,35
23,1/20/19,119,3,29
24,1/21/19,114,2,248
25,1/22/19,114,2,248
25,1/22/19,115,2,72
25,1/24/19,114,5,248
25,1/27/19,115,1,72
26,1/25/19,115,1,72
27,1/26/19,104,3,154
28,1/27/19,101,4,55
29,1/27/19,111,3,149
30,1/29/19,111,1,149
31,1/30/19,104,3,154
32,1/31/19,117,1,999
33,1/31/19,117,2,999
34,1/31/19,110,3,299
35,2/3/19,117,2,999
36,2/4/19,102,4,82
37,2/5/19,102,2,82
38,2/6/19,113,2,67
39,2/7/19,120,5,99
40,2/8/19,115,2,72
41,2/8/19,114,1,248
42,2/10/19,105,5,234
43,2/11/19,102,1,82
43,3/5/19,104,3,154
44,2/12/19,105,3,234
44,3/5/19,102,4,82
45,2/13/19,119,5,29
45,3/5/19,105,3,234
46,2/14/19,102,4,82
46,2/14/19,102,5,29
46,3/9/19,102,2,35
46,3/10/19,103,1,199
46,3/11/19,103,1,199
47,2/14/19,110,2,299
47,3/11/19,105,5,234
48,2/14/19,115,4,72
48,3/12/19,105,3,234
49,2/18/19,106,2,123
49,2/18/19,114,1,248
49,2/18/19,112,4,200
49,2/18/19,116,1,499
50,2/20/19,118,4,35
50,2/21/19,118,4,29
50,3/13/19,118,5,299
50,3/14/19,118,2,199
51,2/21/19,120,2,99
51,3/13/19,108,4,120
52,2/23/19,117,2,999
52,3/18/19,112,5,200
53,2/24/19,120,4,99
53,3/19/19,105,5,234
54,2/25/19,119,4,29
54,3/20/19,110,1,299
55,2/26/19,117,2,999
55,3/20/19,117,5,999
56,2/27/19,115,2,72
56,3/20/19,116,2,499
57,2/28/19,105,4,234
57,2/28/19,106,1,123
57,3/20/19,108,1,120
57,3/20/19,103,1,79
58,2/28/19,104,1,154
58,3/1/19,101,3,55
58,3/2/19,119,2,29
58,3/25/19,102,2,82
59,3/4/19,117,4,999
60,3/5/19,114,3,248
61,3/26/19,120,2,99
62,3/27/19,106,1,123
63,3/27/19,120,5,99
64,3/27/19,105,3,234
65,3/27/19,103,4,79
66,3/31/19,107,2,27
67,3/31/19,102,5,82